Date,rank,song_id,title,artist,genre,genre_coding,date_coding
201502,9,4751893,Be The One,Jeff Bernat,Drama,4,2
201502,10,4446485,너의 모든 순간,성시경,Drama,4,2
201502,11,5592623,"My Type (Prod. By 버벌진트)""",제시 (Jessi),Rap / Hip-hop,5,2
201502,12,4743560,Lost Stars,Adam Levine (Maroon 5),Foreign Movie,8,2
201502,13,5552200,그대도 같은가요,에일리,Drama,4,2
201502,14,5608760,시작이 좋아 2015 (Prod. By 버벌진트),지민 (AOA),Rap / Hip-hop,5,2
201502,15,5465008,세 사람 (With 성시경),토이,Ballad,0,2
201502,16,5562520,예뻐,인피니트H,Rap / Hip-hop,5,2
201502,17,5555752,행복해서 미안해,다비치,Ballad,0,2
201502,18,4246962,목소리 (Feat. 정기고),스웨덴세탁소,Ballad,0,2
201502,19,2266818,Fame,Naturi Naughton,Foreign Movie,8,2
201502,20,5555753,너에게,다비치,Ballad,0,2
201502,21,5546828,팔베개 (Feat. 기현) (Pillow),소유 (SOYOU),Rap / Hip-hop,5,2
201502,22,5572312,그냥 (Just),Zion.T,R&B / Soul,2,2
201502,23,5545022,환청 (Feat. 나쑈 (NaShow)),장재인,Drama,4,2
201502,24,3953192,하지 못한 말,노을,Ballad,0,2
201502,25,5408544,너 그리고 너,유승우,Folk,1,2
201502,26,4668006,"걷자, 집앞이야 (Feat. 주예인)",스무살,Folk,1,2
201502,27,5595288,널 사랑해,유성은,Drama,4,2
201502,28,4843704,너를 사랑해,윤미래,Drama,4,2
201502,29,5553915,그린라이트 (Green Light),라디 (Ra. D),R&B / Soul,2,2
201502,30,5536209,마지막인 것처럼,노을,Ballad,0,2
201502,31,5503057,"몰라 너 싫어 (Feat. 선아, 리와인)",어쿠루브,Folk,1,2
201502,32,5482636,잊지 말기로 해 (Bonus Track),성시경,Ballad,0,2
201502,33,5371629,그게 뭐라고,어쿠루브,Folk,1,2
201502,34,4543502,야생화,박효신,Ballad,0,2
201502,35,4467085,"사랑노래 같은 이별노래 (Feat. 한올, 리와인)",어쿠루브,Folk,1,2
201502,36,4291510,하고 싶은 말 (Feat. 한올),어쿠루브,Folk,1,2
201502,37,5588240,Well Done (Feat. Ja Mezz),지코 (ZICO),Rap / Hip-hop,5,2
201502,38,5538220,콩 (Feat. 주영) (Hide And Seek),매드클라운,Rap / Hip-hop,5,2
201502,39,5439975,잡지 않았어,어쿠루브,Folk,1,2
201502,40,5397397,연애하나 봐,JUNIEL,Dance,7,2
201502,41,4800343,내가 웃고 있어요 (가인),브라운아이드걸스,Ballad,0,2
201502,42,4705577,뭐가 그리 좋은지 몰라,원 모어 찬스 (one more chance),Rock,3,2
201502,43,4669749,I Do,어쿠스틱 콜라보,Folk,1,2
201502,44,4238577,함께 걷던 길 (Duet With. April),더필름,Ballad,0,2
201502,45,4153208,남자친구가 생겼으면 좋겠다 (Feat. 소심한 오빠들),쇼코,Folk,1,2
201502,46,3808188,If You Wonder,Jeff Bernat,R&B / Soul,2,2
201502,47,3450190,얼음꽃 (Feat. 김세황),아이유,Ballad,0,2
201502,48,3159987,좋아하는 사람이 생겼어요 (With 양정승),크레파스,Ballad,0,2
201502,49,2382634,별 빛이 내린다,안녕바다,Rock,3,2
201502,50,105886,시간이 흐른 뒤 (As Time Goes By),윤미래,R&B / Soul,2,2
201503,1,5608760,시작이 좋아 2015 (Prod. By 버벌진트),지민 (AOA),Rap / Hip-hop,5,3
201503,2,4579468,봄 사랑 벚꽃 말고,HIGH4 (하이포),Ballad,0,3
201503,3,5576417,같은 시간 속의 너,나얼,R&B / Soul,2,3
201503,4,5536206,목소리,노을,Ballad,0,3
201503,5,3753304,벚꽃 엔딩,버스커 버스커,Rock,3,3
201503,6,5545022,환청 (Feat. 나쑈 (NaShow)),장재인,Drama,4,3
201503,7,62619,사랑 Two,윤도현,Rock,3,3
201503,8,5592623,My Type (Prod. By 버벌진트),"제시 (Jessi), 치타 (CHEETAH), 강남",Rap / Hip-hop,5,3
201503,9,5584400,사랑은 미친짓 (Feat. 칸토 of 트로이),15& (박지민,R&B / Soul,2,3
201503,10,5397397,연애하나 봐,JUNIEL,Dance,7,3
201503,11,5628083,두사랑 (Feat. 매드클라운),다비치,Ballad,0,3
201503,12,5562526,Duet,이지형,Rock,3,3
201503,13,4309958,Feel So Good (Feat. 홍대광),임정희,Ballad,0,3
201503,14,5627962,나도 여자예요,민아 (걸스데이),R&B / Soul,2,3
201503,15,5622359,Apple (Feat. 박재범),가인,Dance,7,3
201503,16,5546828,팔베개 (Feat. 기현) (Pillow),소유 (SOYOU),Rap / Hip-hop,5,3
201503,17,3753303,여수 밤바다,버스커 버스커,Rock,3,3
201503,18,1912291,사랑해 (Fall In Love),김건모,Ballad,0,3
201503,19,5458267,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),Ballad,0,3
201503,20,4843704,너를 사랑해,윤미래,Drama,4,3
201503,21,4660794,I`m Not The Only One,Sam Smith,Pop,6,3
201503,22,4583481,Give Love,악동뮤지션,Folk,1,3
201503,23,4446485,너의 모든 순간,성시경,Drama,4,3
201503,24,4079217,봄을 노래하다,40,R&B / Soul,2,3
201503,25,5629186,사월의 눈,허각,Ballad,0,3
201503,26,5622398,어쩌라고 (So What),빈지노 (Beenzino),Rap / Hip-hop,5,3
201503,27,5612513,너는 나만큼 (Growing Pains),SUPER JUNIOR-D&E (동해&은혁),Ballad,0,3
201503,28,5555753,너에게,다비치,Ballad,0,3
201503,29,4743560,Lost Stars,Adam Levine (Maroon 5),Foreign Movie,8,3
201503,30,4153481,Love Love Love,로이킴,Folk,1,3
201503,31,3753309,꽃송이가,버스커 버스커,Rock,3,3
201503,32,3718181,"봄날, 벚꽃 그리고 너",에피톤 프로젝트,Korean Movie,8,3
201503,33,5495296,사랑에 빠지고 싶다,정승환,Ballad,0,3
201503,34,4814828,캠퍼스 커플 (With 옥상달빛),페퍼톤스 (Peppertones),Rock,3,3
201503,35,4666519,"C.C (Campus Couple) (Feat. 리와인, 한올)",어쿠루브,Ballad,0,3
201503,36,4643439,봄 타나봐 (BOMTANABA),서인국,Ballad,0,3
201503,37,4579547,너는 나의 봄이다,성시경,Ballad,0,3
201503,38,4108627,너는 나의 봄이다,성시경,Ballad,0,3
201503,39,4100688,너와 나,유승우,Rock,3,3
201503,40,4097404,장거리 연애 (Feat. 김혜빈 Of 에보니힐),돕선앤로직스,Rap / Hip-hop,5,3
201503,41,3813657,"입장정리 (Feat. 최자, Simon D)",프라이머리,Rap / Hip-hop,5,3
201503,42,3758053,Beautiful Day,어반자카파,Ballad,0,3
201503,43,3598950,Sweet Louise,The Belle Brigade,Rock,3,3
201503,44,5629188,여운,허각,Ballad,0,3
201503,45,5459290,쓰담쓰담,10cm,Folk,1,3
201503,46,5385974,위잉위잉,혁오 (HYUKOH),Rock,3,3
201503,47,4757963,Lovin` You,얼바나,R&B / Soul,2,3
201503,48,4646573,너의 의미 (Feat. 김창완),아이유,Ballad,0,3
201503,49,4616186,봄날에 눈이 부신,빌리어코스티,Rock,3,3
201503,50,4443522,The Morning After,Meg Myers,Rock,3,3
201504,1,5576417,같은 시간 속의 너,나얼,R&B / Soul,2,4
201504,2,5536206,목소리,노을,Ballad,0,4
201504,3,3274048,Love Love Love,Avalanche City,Rock,3,4
201504,4,5653958,봄바람 (Feat. 나얼),이문세,Rock,3,4
201504,5,4699126,Thinking Out Loud,Ed Sheeran,Rock,3,4
201504,6,3405381,두근두근,써니힐,Drama,4,4
201504,7,4668006,"걷자, 집앞이야 (Feat. 주예인)",스무살,Folk,1,4
201504,8,4191054,왜 이제야 왔니,정엽,Drama,4,4
201504,9,4171476,첫사랑 (`응답하라 1994` 삽입곡),써니사이드,Ballad,0,4
201504,10,3753304,벚꽃 엔딩,버스커 버스커,Rock,3,4
201504,11,5657052,"조만간 봐요 (Feat. BSK, 개코)",프라이머리,R&B / Soul,2,4
201504,12,4047068,아시나요 (원곡가수 조성모),The One (더원),Ballad,0,4
201504,13,5639931,꽃이 핀다,케이윌,Ballad,0,4
201504,14,5629186,사월의 눈,허각,Ballad,0,4
201504,15,5628083,두사랑 (Feat. 매드클라운),다비치,Ballad,0,4
201504,16,4660794,I`m Not The Only One,Sam Smith,Pop,6,4
201504,17,4598979,Better Man,Paolo Nutini,Pop,6,4
201504,18,4446485,너의 모든 순간,성시경,Drama,4,4
201504,19,4224448,Count On Me,Bruno Mars,Pop,6,4
201504,20,4072341,Fake Plastic Trees (Acoustic Ver.),Radiohead,Rock,3,4
201504,21,3910821,바람기억,나얼,R&B / Soul,2,4
201504,22,3753303,여수 밤바다,버스커 버스커,Rock,3,4
201504,23,3568916,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보,Folk,1,4
201504,24,3403624,Waitingstill,Musiq Soulchild,R&B / Soul,2,4
201504,25,2229193,You And I,Wilco,Rock,3,4
201504,26,888201,Still With You,Eric Benet,R&B / Soul,2,4
201504,27,5674119,Me You (Feat. 백예린 Of 15&),San E,Rap / Hip-hop,5,4
201504,28,5562526,Duet,이지형,Rock,3,4
201504,29,5389475,양화대교,Zion.T,R&B / Soul,2,4
201504,30,4781068,Tee Shirt,Birdy,Foreign Movie,8,4
201504,31,4582959,인연,윤민수,Ballad,0,4
201504,32,4454364,어느 소녀의 사랑 이야기,윤민수,Ballad,0,4
201504,33,4336120,잊혀진다는 거,노을,Ballad,0,4
201504,34,4282498,I Hope That I Don`t Fall In Love With You,Tom Waits,Folk,1,4
201504,35,3953196,만약에 말야 (전우성 Solo),노을,Ballad,0,4
201504,36,3953192,하지 못한 말,노을,Ballad,0,4
201504,37,3642438,Mexico,The Staves,Folk,1,4
201504,38,3633511,살기 위해서,노을,Drama,4,4
201504,39,3598950,Sweet Louise,The Belle Brigade,Rock,3,4
201504,40,3585793,그리워 그리워,노을,Ballad,0,4
201504,41,3573175,연애시대 (Feat. Ra.D) (Narr. 한효주),이승기,Ballad,0,4
201504,42,3436083,끝사랑,김범수,Ballad,0,4
201504,43,3417056,Love Love Love (Feat. Jason Mraz),Hope,Pop,6,4
201504,44,3028777,별처럼,태연 (TAEYEON),Ballad,0,4
201504,45,2939095,널 생각해,원 모어 찬스 (one more chance),Folk,1,4
201504,46,2637977,Oh!,Eric Hutchinson,Rock,3,4
201504,47,1907909,Live High,Jason Mraz,Rock,3,4
201504,48,1883446,기억을 걷는 시간,넬 (NELL),Rock,3,4
201504,49,1491168,9 Crimes,Damien Rice,Folk,1,4
201504,50,1336676,Dragonfly,M. Craft,Rock,3,4
201505,1,5637019,새벽 가로수길 (With 송유빈),백지영,Ballad,0,5
